"module name","licenses"

"dario.cat/mergo","BSD-3-Clause"
"github.com/arbovm/levenshtein","BSD-3-Clause"
"github.com/bwmarrin/discordgo","BSD-3-Clause"
"github.com/gorilla/websocket","BSD-2-Clause"
"golang.org/x/crypto","BSD-3-Clause"
"github.com/cenkalti/backoff","MIT"
"github.com/bmatcuk/doublestar","MIT"
"github.com/cortesi/modd","MIT"
"github.com/cortesi/modd/conf","BSD-3-Clause"
"github.com/cortesi/moddwatch","MIT"
"github.com/cortesi/termlog","MIT"
"github.com/fatih/color","MIT"
"github.com/mattn/go-colorable","MIT"
"github.com/mattn/go-isatty","MIT"
"github.com/rjeczalik/notify","MIT"
"golang.org/x/crypto/ssh/terminal","BSD-3-Clause"
"golang.org/x/net/context","BSD-3-Clause"
"golang.org/x/sys/unix","BSD-3-Clause"
"golang.org/x/term","BSD-3-Clause"
"github.com/dghubble/oauth1","MIT"
"github.com/cespare/xxhash/v2","MIT"
"github.com/dgraph-io/ristretto","Apache-2.0"
"github.com/dgraph-io/ristretto/z","MIT"
"github.com/dustin/go-humanize","MIT"
"github.com/pkg/errors","BSD-2-Clause"
"golang.org/x/sys/unix","BSD-3-Clause"
"github.com/fatih/color","MIT"
"github.com/mattn/go-colorable","MIT"
"github.com/mattn/go-isatty","MIT"
"golang.org/x/sys/unix","BSD-3-Clause"
"github.com/ghodss/yaml","MIT"
"github.com/ghodss/yaml","BSD-3-Clause"
"gopkg.in/yaml.v2","Apache-2.0"
"github.com/go-crypt/crypt","MIT"
"github.com/go-crypt/x","BSD-3-Clause"
"golang.org/x/sys/cpu","BSD-3-Clause"
"github.com/asaskevich/govalidator","MIT"
"github.com/go-openapi/errors","Apache-2.0"
"github.com/go-openapi/strfmt","Apache-2.0"
"github.com/google/uuid","BSD-3-Clause"
"github.com/mitchellh/mapstructure","MIT"
"github.com/oklog/ulid","Apache-2.0"
"go.mongodb.org/mongo-driver","Apache-2.0"
"github.com/go-swagger/go-swagger","Apache-2.0"
"github.com/gobuffalo/httptest","MIT"
"github.com/gobuffalo/httptest/internal/takeon/github.com/ajg/form","BSD-3-Clause"
"github.com/gobuffalo/httptest/internal/takeon/github.com/markbates/hmax","MIT"
"github.com/gofrs/uuid","MIT"
"github.com/google/go-jsonnet","Apache-2.0"
"gopkg.in/yaml.v2","Apache-2.0"
"sigs.k8s.io/yaml","MIT"
"sigs.k8s.io/yaml","BSD-3-Clause"
"github.com/gorilla/securecookie","BSD-3-Clause"
"github.com/gorilla/sessions","BSD-3-Clause"
"github.com/gtank/cryptopasta","CC0-1.0"
"golang.org/x/crypto","BSD-3-Clause"
"github.com/hashicorp/go-cleanhttp","MPL-2.0"
"github.com/hashicorp/go-retryablehttp","MPL-2.0"
"github.com/inhies/go-bytesize","BSD-3-Clause"
"github.com/jarcoal/httpmock","MIT"
"github.com/jmoiron/sqlx","MIT"
"github.com/julienschmidt/httprouter","BSD-3-Clause"
"github.com/lestrrat-go/jwx","MIT"
"github.com/lestrrat-go/option","MIT"
"github.com/pkg/errors","BSD-2-Clause"
"github.com/luna-duclos/instrumentedsql","MIT"
"github.com/gorilla/context","BSD-3-Clause"
"github.com/gorilla/mux","BSD-3-Clause"
"github.com/gorilla/pat","BSD-3-Clause"
"github.com/gorilla/websocket","BSD-2-Clause"
"github.com/ian-kent/envconf","MIT"
"github.com/ian-kent/go-log","MIT"
"github.com/ian-kent/goose","MIT"
"github.com/ian-kent/linkio","Unknown"
"github.com/mailhog/MailHog","MIT"
"github.com/mailhog/MailHog-Server","MIT"
"github.com/mailhog/MailHog-UI","MIT"
"github.com/mailhog/data","MIT"
"github.com/mailhog/http","MIT"
"github.com/mailhog/mhsendmail/cmd","MIT"
"github.com/mailhog/smtp","MIT"
"github.com/mailhog/storage","MIT"
"github.com/ogier/pflag","BSD-3-Clause"
"github.com/philhofer/fwd","MIT"
"github.com/t-k/fluent-logger-golang/fluent","Unknown"
"github.com/tinylib/msgp/msgp","MIT"
"golang.org/x/crypto","BSD-3-Clause"
"gopkg.in/mgo.v2","BSD-2-Clause"
"gopkg.in/mgo.v2/bson","BSD-2-Clause"
"gopkg.in/mgo.v2/internal/json","BSD-3-Clause"
"github.com/mattn/goveralls","MIT"
"golang.org/x/mod","BSD-3-Clause"
"golang.org/x/tools","BSD-3-Clause"
"github.com/mohae/deepcopy","MIT"
"github.com/montanaflynn/stats","MIT"
"github.com/nyaruka/phonenumbers","MIT"
"golang.org/x/text","BSD-3-Clause"
"google.golang.org/protobuf","BSD-3-Clause"
"github.com/ory/client-go","Unknown"
"golang.org/x/oauth2","BSD-3-Clause"
"github.com/fsnotify/fsnotify","BSD-3-Clause"
"github.com/hashicorp/hcl","MPL-2.0"
"github.com/magiconair/properties","BSD-2-Clause"
"github.com/mitchellh/mapstructure","MIT"
"github.com/ory/go-acc","Apache-2.0"
"github.com/pelletier/go-toml/v2","MIT"
"github.com/sagikazarmark/slog-shim","BSD-3-Clause"
"github.com/spf13/afero","Apache-2.0"
"github.com/spf13/cast","MIT"
"github.com/spf13/cobra","Apache-2.0"
"github.com/spf13/pflag","BSD-3-Clause"
"github.com/spf13/viper","MIT"
"github.com/subosito/gotenv","MIT"
"golang.org/x/sys/unix","BSD-3-Clause"
"golang.org/x/text","BSD-3-Clause"
"gopkg.in/ini.v1","Apache-2.0"
"gopkg.in/yaml.v3","MIT"
"github.com/ory/graceful","Apache-2.0"
"github.com/pkg/errors","BSD-2-Clause"
"github.com/golang/protobuf/proto","BSD-3-Clause"
"github.com/ory/herodot","Apache-2.0"
"github.com/pkg/errors","BSD-2-Clause"
"golang.org/x/net","BSD-3-Clause"
"golang.org/x/sys/unix","BSD-3-Clause"
"golang.org/x/text","BSD-3-Clause"
"google.golang.org/genproto/googleapis/rpc","Apache-2.0"
"google.golang.org/grpc","Apache-2.0"
"google.golang.org/protobuf","BSD-3-Clause"
"code.dny.dev/ssrf","MIT"
"dario.cat/mergo","BSD-3-Clause"
"filippo.io/edwards25519","BSD-3-Clause"
"github.com/Masterminds/goutils","Apache-2.0"
"github.com/Masterminds/semver/v3","MIT"
"github.com/Masterminds/sprig/v3","MIT"
"github.com/Nvveen/Gotty","BSD-2-Clause"
"github.com/arbovm/levenshtein","BSD-3-Clause"
"github.com/asaskevich/govalidator","MIT"
"github.com/avast/retry-go/v4","MIT"
"github.com/aymerick/douceur","MIT"
"github.com/beorn7/perks/quantile","MIT"
"github.com/boombuler/barcode","MIT"
"github.com/bwmarrin/discordgo","BSD-3-Clause"
"github.com/cenkalti/backoff","MIT"
"github.com/cenkalti/backoff/v4","MIT"
"github.com/cespare/xxhash/v2","MIT"
"github.com/cockroachdb/cockroach-go/v2/crdb","Apache-2.0"
"github.com/containerd/continuity/pathdriver","Apache-2.0"
"github.com/coreos/go-oidc/v3/oidc","Apache-2.0"
"github.com/davecgh/go-spew/spew","ISC"
"github.com/dghubble/oauth1","MIT"
"github.com/dgraph-io/ristretto","Apache-2.0"
"github.com/dgraph-io/ristretto/v2","Apache-2.0"
"github.com/dgraph-io/ristretto/v2/z","MIT"
"github.com/dgraph-io/ristretto/z","MIT"
"github.com/docker/cli","Apache-2.0"
"github.com/docker/docker","Apache-2.0"
"github.com/docker/go-connections/nat","Apache-2.0"
"github.com/docker/go-units","Apache-2.0"
"github.com/dustin/go-humanize","MIT"
"github.com/evanphx/json-patch/v5","BSD-3-Clause"
"github.com/fatih/color","MIT"
"github.com/fatih/structs","MIT"
"github.com/felixge/fgprof","MIT"
"github.com/felixge/httpsnoop","MIT"
"github.com/fsnotify/fsnotify","BSD-3-Clause"
"github.com/fxamacker/cbor/v2","MIT"
"github.com/gabriel-vasile/mimetype","MIT"
"github.com/go-crypt/crypt","MIT"
"github.com/go-crypt/x","BSD-3-Clause"
"github.com/go-faker/faker/v4/pkg/slice","MIT"
"github.com/go-jose/go-jose/v3","Apache-2.0"
"github.com/go-jose/go-jose/v3/json","BSD-3-Clause"
"github.com/go-jose/go-jose/v4","Apache-2.0"
"github.com/go-jose/go-jose/v4/json","BSD-3-Clause"
"github.com/go-logr/logr","Apache-2.0"
"github.com/go-logr/stdr","Apache-2.0"
"github.com/go-openapi/errors","Apache-2.0"
"github.com/go-openapi/jsonpointer","Apache-2.0"
"github.com/go-openapi/strfmt","Apache-2.0"
"github.com/go-openapi/swag","Apache-2.0"
"github.com/go-playground/locales","MIT"
"github.com/go-playground/universal-translator","MIT"
"github.com/go-playground/validator/v10","MIT"
"github.com/go-sql-driver/mysql","MPL-2.0"
"github.com/go-webauthn/webauthn","BSD-3-Clause"
"github.com/go-webauthn/x/revoke","BSD-2-Clause"
"github.com/gobuffalo/envy","MIT"
"github.com/gobuffalo/fizz","MIT"
"github.com/gobuffalo/flect","MIT"
"github.com/gobuffalo/github_flavored_markdown","MIT"
"github.com/gobuffalo/github_flavored_markdown/internal/russross/blackfriday","BSD-2-Clause"
"github.com/gobuffalo/github_flavored_markdown/internal/shurcooL/sanitized_anchor_name","MIT"
"github.com/gobuffalo/helpers","MIT"
"github.com/gobuffalo/nulls","MIT"
"github.com/gobuffalo/plush/v4","MIT"
"github.com/gobuffalo/pop/v6","MIT"
"github.com/gobuffalo/tags/v3","MIT"
"github.com/gobuffalo/validate/v3","MIT"
"github.com/gobwas/glob","MIT"
"github.com/goccy/go-yaml","MIT"
"github.com/gofrs/uuid","MIT"
"github.com/gogo/protobuf","BSD-3-Clause"
"github.com/golang-jwt/jwt/v4","MIT"
"github.com/golang-jwt/jwt/v5","MIT"
"github.com/golang/gddo/httputil","BSD-3-Clause"
"github.com/golang/protobuf","BSD-3-Clause"
"github.com/google/go-github/v38/github","BSD-3-Clause"
"github.com/google/go-jsonnet","Apache-2.0"
